genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref
escherichia_coli.k32	0.1	FMSIv02	local	21	2	13792900	1000000	70954107	FMSIv02.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	0.1	FMSIv02	local	21	3	13792900	1000000	65274683	FMSIv02.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	0.1	FMSIv02	local	21	4	13792900	1000000	60352619	FMSIv02.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	0.1	FMSIv02	local	21	5	13792900	1000000	56027090	FMSIv02.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	0.1	fmsi	local	21	1	13792900	1000000	89341091	fmsi.escherichia_coli.k32.S_local.k_21.d_1
escherichia_coli.k32	0.1	fmsi	local	21	2	13792900	1000000	81538539	fmsi.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	0.1	fmsi	local	21	3	13792900	1000000	74902747	fmsi.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	0.1	fmsi	local	21	4	13792900	1000000	69149691	fmsi.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	0.1	fmsi	local	21	5	13792900	1000000	64144179	fmsi.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	0.1	cbl	none	21	na	13792900	1000000	64626801	cbl.escherichia_coli.k32.S_none.k_21.d_na
escherichia_coli.k32	0.1	sbwt	none	21	0	13792900	1000000	123287992	sbwt.escherichia_coli.k32.S_none.k_21.d_0
escherichia_coli.k32	0.1	sbwt	none	21	1	13792900	1000000	66972792	sbwt.escherichia_coli.k32.S_none.k_21.d_1
escherichia_coli.k32	0.1	sbwt	none	21	2	13792900	1000000	94436802	sbwt.escherichia_coli.k32.S_none.k_21.d_2
escherichia_coli.k32	0.1	bwa	prophasm	21	na	13792900	1000000	862544521	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	0.1	SSHash	prophasm	21	na	13792900	1000000	122727272	sshash.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	0.1	FMSIv02	global	23	na	14307368	1000000	33267081	FMSIv02.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	0.1	fmsi	global	23	na	14307368	1000000	37572219	fmsi.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	0.1	FMSIv02	local	23	1	14307368	1000000	87410876	FMSIv02.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	0.1	FMSIv02	local	23	2	14307368	1000000	79938603	FMSIv02.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	0.1	FMSIv02	local	23	3	14307368	1000000	73473187	FMSIv02.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	0.1	FMSIv02	local	23	4	14307368	1000000	67920803	FMSIv02.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	0.1	FMSIv02	local	23	5	14307368	1000000	63202819	FMSIv02.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	0.1	fmsi	local	23	1	14307368	1000000	100832411	fmsi.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	0.1	fmsi	local	23	2	14307368	1000000	91939163	fmsi.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	0.1	fmsi	local	23	3	14307368	1000000	84245707	fmsi.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	0.1	fmsi	local	23	4	14307368	1000000	77800915	fmsi.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	0.1	fmsi	local	23	5	14307368	1000000	72310691	fmsi.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	0.1	cbl	none	23	na	14307368	1000000	80900560	cbl.escherichia_coli.k32.S_none.k_23.d_na
escherichia_coli.k32	0.1	sbwt	none	23	0	14307368	1000000	154078104	sbwt.escherichia_coli.k32.S_none.k_23.d_0
escherichia_coli.k32	0.1	sbwt	none	23	1	14307368	1000000	83114680	sbwt.escherichia_coli.k32.S_none.k_23.d_1
escherichia_coli.k32	0.1	sbwt	none	23	2	14307368	1000000	113160138	sbwt.escherichia_coli.k32.S_none.k_23.d_2
escherichia_coli.k32	0.1	bwa	prophasm	23	na	14307368	1000000	941026124	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	0.1	SSHash	prophasm	23	na	14307368	1000000	137029928	sshash.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	0.1	FMSIv02	global	31	na	16229893	1000000	46276379	FMSIv02.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	0.1	fmsi	global	31	na	16229893	1000000	52419027	fmsi.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	0.1	FMSIv02	local	31	1	16229893	1000000	130616437	FMSIv02.escherichia_coli.k32.S_local.k_31.d_1
escherichia_coli.k32	0.1	FMSIv02	local	31	2	16229893	1000000	119037837	FMSIv02.escherichia_coli.k32.S_local.k_31.d_2
escherichia_coli.k32	0.1	FMSIv02	local	31	3	16229893	1000000	108934405	FMSIv02.escherichia_coli.k32.S_local.k_31.d_3
escherichia_coli.k32	0.1	FMSIv02	local	31	4	16229893	1000000	100159572	FMSIv02.escherichia_coli.k32.S_local.k_31.d_4
